ID,Name,Description (Short),Name (Chinese),Description (Chinese Short)
rockslide,Rock Slide,30% chance to flinch the foe(s).,岩崩,将大岩石猛烈地撞向对手进行攻击。30%几率使对手畏缩。
rocksmash,Rock Smash,50% chance to lower the target's Defense by 1.,碎岩,用拳头进行攻击。50%几率降低对手的防御。
rockthrow,Rock Throw,No additional effect.,落石,拿起小岩石，投掷对手进行攻击。
rocktomb,Rock Tomb,100% chance to lower the target's Speed by 1.,岩石封锁,投掷岩石进行攻击。封住对手的行动，100%几率降低目标速度1级。
rockwrecker,Rock Wrecker,User cannot move next turn.,岩石炮,向对手发射巨大的岩石进行攻击。下一回合自己将无法动弹。
roleplay,Role Play,User replaces its Ability with the target's.,扮演,扮演对手，让自己的特性变得和对手相同。
rollingkick,Rolling Kick,30% chance to flinch the target.,回旋踢,一边使身体快速旋转，一边踢飞对手进行攻击。30%几率使对手畏缩。
rollout,Rollout,Power doubles with each hit. Repeats for 5 turns.,滚动,在５回合内连续滚动攻击对手。招式每次击中，威力就会提高。
roost,Roost,Heals 50% HP. Flying-type removed 'til turn ends.,羽栖,降到地面，使身体休息。回复自己最大ＨＰ的一半。
rototiller,Rototiller,Raises Atk/Sp. Atk of grounded Grass types by 1.,耕地,翻耕土地，使草木更容易成长。100%几率提高地面上的草属性宝可梦的攻击和特攻各1级。
round,Round,Power doubles if others used Round this turn.,轮唱,用歌声攻击对手。同伴还可以接着使出轮唱招式，威力也会提高。
sacredfire,Sacred Fire,50% chance to burn the target. Thaws user.,神圣之火,用神秘的火焰烧尽对手进行攻击。50%几率让对手陷入灼伤状态。
sacredsword,Sacred Sword,Ignores the target's stat stage changes.,圣剑,用长角切斩对手进行攻击。无视对手的能力变化，直接给予伤害。
safeguard,Safeguard,"For 5 turns, protects user's party from status.",神秘守护,在５回合内被神奇的力量守护，从而不会陷入异常状态。
sandattack,Sand Attack,Lowers the target's accuracy by 1.,泼沙,向对手脸上泼沙子，从而降低目标命中率1级。
sandstorm,Sandstorm,"For 5 turns, a sandstorm rages.",沙暴,在５回合内扬起沙暴，除岩石、地面和钢属性以外的宝可梦，都会受到伤害。岩石属性的特防还会提高。
sandtomb,Sand Tomb,Traps and damages the target for 4-5 turns.,流沙地狱,将对手困在铺天盖地的沙暴中，在４～５回合内进行攻击。
sappyseed,Sappy Seed,Summons Leech Seed.,茁茁轰炸,长出巨大的藤蔓，播撒种子进行攻击。100%几率使目标进入寄生种子状态。
savagespinout,Savage Spin-Out,Power is equal to the base move's Z-Power.,绝对捕食回旋转,通过Ｚ力量将吐出的丝线全力束缚对手。威力会根据原来的招式而改变。
scald,Scald,30% chance to burn the target. Thaws target.,热水,向对手喷射煮得翻滚的开水进行攻击。30%几率让对手陷入灼伤状态。
scaleshot,Scale Shot,"Hits 2-5 times. User: -1 Def, +1 Spe after last hit.",鳞射,发射鳞片进行攻击。连续攻击２～５次。攻击结束后令使用者防御降低1级，同时速度提升1级。
scaryface,Scary Face,Lowers the target's Speed by 2.,鬼面,用恐怖的脸瞪着对手，使其害怕，从而降低对手的速度2级。
scorchingsands,Scorching Sands,30% chance to burn the target. Thaws target.,热沙大地,将滚烫的沙子砸向对手进行攻击。30%几率会让对手陷入灼伤状态。
scratch,Scratch,No additional effect.,抓,用坚硬且无比锋利的爪子抓对手进行攻击。
screech,Screech,Lowers the target's Defense by 2.,刺耳声,发出不由自主想要捂起耳朵的刺耳声，从而低对手的防御2级。
searingshot,Searing Shot,30% chance to burn adjacent Pokemon.,火焰弹,用熊熊烈火攻击自己周围所有的宝可梦。30%几率使目标陷入灼伤状态。
searingsunrazesmash,Searing Sunraze Smash,Ignores the Abilities of other Pokemon.,日光回旋下苍穹,得到Ｚ力量的索尔迦雷欧将全力进行攻击。可以无视对手的特性效果。
secretpower,Secret Power,Effect varies with terrain. (30% paralysis chance),秘密之力,根据使用场所不同，该招式的追加效果也会有所变化。追加效果几率为30%。
secretsword,Secret Sword,"Damages target based on Defense, not Sp. Def.",神秘之剑,用长角切斩对手进行攻击。角上拥有的神奇力量将给予物理伤害。使目标防御代替特防进行伤害计算。
seedbomb,Seed Bomb,No additional effect.,种子炸弹,将外壳坚硬的大种子，从上方砸下攻击对手。
seedflare,Seed Flare,40% chance to lower the target's Sp. Def by 2.,种子闪光,从身体里产生冲击波。40%几率降低对手的特防2级。
seismictoss,Seismic Toss,Does damage equal to the user's level.,地球上投,利用引力将对手甩飞出去。给予对手和自己等级相同的伤害。
selfdestruct,Self-Destruct,Hits adjacent Pokemon. The user faints.,自爆,引发爆炸，攻击自己周围所有的宝可梦。使用后陷入濒死。
shadowball,Shadow Ball,20% chance to lower the target's Sp. Def by 1.,影子球,投掷一团黑影进行攻击。20%几率降低对手的特防1级。
shadowbone,Shadow Bone,20% chance to lower the target's Defense by 1.,暗影之骨,用附有灵魂的骨头殴打对手进行攻击。20%几率降低对手的防御1级。
shadowclaw,Shadow Claw,High critical hit ratio.,暗影爪,以影子做成的锐爪，劈开对手。容易击中要害。
shadowforce,Shadow Force,Disappears turn 1. Hits turn 2. Breaks protection.,暗影潜袭,第１回合消失踪影，第２回合攻击对手。即使对手正受保护，也能击中。
shadowpunch,Shadow Punch,This move does not check accuracy.,暗影拳,使出混影之拳。攻击必定会命中。
shadowsneak,Shadow Sneak,Usually goes first.,影子偷袭,伸长影子，从对手的背后进行攻击。必定能够先制攻击。
shadowstrike,Shadow Strike,50% chance to lower the target's Defense by 1.,暗影突袭,50%几率降低目标防御1级。
sharpen,Sharpen,Raises the user's Attack by 1.,棱角化,增加身体的角，变得棱棱角角，从而提高自己的攻击1级。
shatteredpsyche,Shattered Psyche,Power is equal to the base move's Z-Power.,至高精神破坏波,通过Ｚ力量操纵对手，全力使其感受到痛苦。威力会根据原来的招式而改变。
sheercold,Sheer Cold,OHKOs non-Ice targets. Fails if user's lower level.,绝对零度,给对手一击濒死。如果是冰属性以外的宝可梦使用，就会难以打中。
shellsidearm,Shell Side Arm,20% psn. Physical+contact if it would be stronger.,臂备武器,从物理攻击和特殊攻击中选择可造成较多伤害的方式进行攻击。20%几率让对手陷入中毒状态。
shellsmash,Shell Smash,"Lowers Def, SpD by 1; raises Atk, SpA, Spe by 2.",破壳,打破外壳，降低自己的防御和特防各1级，同时提高攻击、特攻和速度各2级。
shelltrap,Shell Trap,User must take physical damage before moving.,陷阱甲壳,回合开始时，设下陷阱，若该回合中受到来自对手的物理攻击， 可引起爆炸并给予对手重大的伤害。
shiftgear,Shift Gear,Raises the user's Speed by 2 and Attack by 1.,换挡,转动齿轮，不仅提高自己的攻击，还会大幅提高速度。
shockwave,Shock Wave,This move does not check accuracy.,电击波,向对手快速发出电击。攻击必定会命中。
shoreup,Shore Up,User restores 1/2 its max HP; 2/3 in Sandstorm.,集沙,回复自己最大ＨＰ的一半。在沙暴中回复得更多。
signalbeam,Signal Beam,10% chance to confuse the target.,信号光束,发射神奇的光线进行攻击。10%几率使对手混乱。
silverwind,Silver Wind,10% chance to raise all stats by 1 (not acc/eva).,银色旋风,在风中掺入鳞粉攻击对手。10%几率提高自己的全部能力。
simplebeam,Simple Beam,The target's Ability becomes Simple.,单纯光束,向对手发送谜之念波。接收到念波的对手，其特性会变为单纯。
sing,Sing,Causes the target to fall asleep.,唱歌,让对手听舒适、美妙的歌声，从而陷入睡眠状态。
sinisterarrowraid,Sinister Arrow Raid,No additional effect.,遮天蔽日暗影箭,通过Ｚ力量制造出无数箭的狙射树枭将全力射穿对手进行攻击。
sizzlyslide,Sizzly Slide,100% chance to burn the foe.,熊熊火爆,用燃起大火的身体猛烈地冲撞对手。100%几率让对手陷入灼伤状态。
sketch,Sketch,Permanently copies the last move target used.,写生,将对手使用的招式变成自己的招式。使用１次后写生消失。
skillswap,Skill Swap,The user and the target trade Abilities.,特性互换,利用超能力互换自己和对手的特性。
skittersmack,Skitter Smack,100% chance to lower target's Sp. Atk by 1.,爬击,从对手背后爬近后进行攻击。100%几率降低对手的特攻。
skullbash,Skull Bash,Raises user's Defense by 1 on turn 1. Hits turn 2.,火箭头锤,第１回合把头缩进去，从而提高防御1级。第２回合攻击对手。
skyattack,Sky Attack,"Charges, then hits turn 2. 30% flinch. High crit.",神鸟猛击,第２回合攻击对手。30%几率使对手畏缩。也容易击中要害。
skydrop,Sky Drop,User and foe fly up turn 1. Damages on turn 2.,自由落体,第１回合将对手带到空中，第２回合将其摔下进行攻击。被带到空中的对手不能动弹。
skyuppercut,Sky Uppercut,"Can hit Pokemon using Bounce, Fly, or Sky Drop.",冲天拳,用冲向天空般高高的上勾拳顶起对手进行攻击。
slackoff,Slack Off,Heals the user by 50% of its max HP.,偷懒,偷懒休息。回复自己最大ＨＰ的一半。
slam,Slam,No additional effect.,摔打,使用长长的尾巴或藤蔓等摔打对手进行攻击。
slash,Slash,High critical hit ratio.,劈开,用爪子或镰刀等劈开对手进行攻击。容易击中要害。
sleeppowder,Sleep Powder,Causes the target to fall asleep.,催眠粉,撒出催眠粉，命中后100%几率让对手陷入睡眠状态。
sleeptalk,Sleep Talk,User must be asleep. Uses another known move.,梦话,从自己已学会的招式中任意使出１个。只能在自己睡觉时使用。
sludge,Sludge,30% chance to poison the target.,污泥攻击,用污泥投掷对手进行攻击。30%几率让对手陷入中毒状态。
sludgebomb,Sludge Bomb,30% chance to poison the target.,污泥炸弹,用污泥投掷对手进行攻击。30%几率让对手陷入中毒状态。
sludgewave,Sludge Wave,10% chance to poison adjacent Pokemon.,污泥波,用污泥波攻击自己周围所有的宝可梦。10%几率使目标陷入中毒状态。
smackdown,Smack Down,Removes the target's Ground immunity.,击落,扔石头或炮弹，攻击飞行的对手。对手会被击落，掉到地面。
smartstrike,Smart Strike,This move does not check accuracy.,修长之角,用尖尖的角刺入对手进行攻击。攻击必定会命中。
smellingsalts,Smelling Salts,"Power doubles if target is paralyzed, and cures it.",清醒,对于麻痹状态下的对手，威力会变成２倍。但对手的麻痹也会被治愈。
smog,Smog,40% chance to poison the target.,浊雾,将肮脏的浓雾吹向对手进行攻击。40%几率让对手陷入中毒状态。
smokescreen,Smokescreen,Lowers the target's accuracy by 1.,烟幕,向对手喷出烟或墨汁等，从而降低对手的命中率1级。
snaptrap,Snap Trap,Traps and damages the target for 4-5 turns.,捕兽夹,使用捕兽夹，在４～５回合内，夹住对手进行攻击。
snarl,Snarl,100% chance to lower the foe(s) Sp. Atk by 1.,大声咆哮,没完没了地大声斥责，从而降低对手的特攻1级。
snatch,Snatch,User steals certain support moves to use itself.,抢夺,将对手打算使用的回复招式或能力变化招式夺为己用。
snipeshot,Snipe Shot,High critical hit ratio. Cannot be redirected.,狙击,能无视具有吸引对手招式效果的特性或招式的影响。可以向选定的对手进行攻击。
snore,Snore,User must be asleep. 30% chance to flinch target.,打鼾,在自己睡觉时，发出噪音进行攻击。30%几率使对手畏缩。
soak,Soak,Changes the target's type to Water.,浸水,将大量的水泼向对手，从而使其变成水属性。
softboiled,Soft-Boiled,Heals the user by 50% of its max HP.,生蛋,回复自己最大ＨＰ的一半。
solarbeam,Solar Beam,Charges turn 1. Hits turn 2. No charge in sunlight.,日光束,第１回合收集满满的日光，第２回合发射光束进行攻击。
solarblade,Solar Blade,Charges turn 1. Hits turn 2. No charge in sunlight.,日光刃,在第１回合储存日光的能量，然后在第２回合使出高威力攻击。
sonicboom,Sonic Boom,Always does 20 HP of damage.,音爆,将冲击波撞向对手进行攻击。必定会给予２０的伤害。
soulstealing7starstrike,Soul-Stealing 7-Star Strike,No additional effect.,七星夺魂腿,得到Ｚ力量的玛夏多将全力使出拳头和脚踢的连续招式叩打对手。必定会命中。
spacialrend,Spacial Rend,High critical hit ratio.,亚空裂斩,将对手连同周围的空间一起撕裂并给予伤害。容易击中要害。
spark,Spark,30% chance to paralyze the target.,电光,让电流覆盖全身，猛撞向对手进行攻击。30%几率让对手陷入麻痹状态。
sparklingaria,Sparkling Aria,The target is cured of its burn.,泡影的咏叹调,受到这招式攻击的对手身上的灼伤状态将会痊愈。
sparklyswirl,Sparkly Swirl,Cures the user's party of all status conditions.,亮亮风暴,利用芬芳刺鼻的龙卷风吞噬对方。能治愈我方宝可梦的异常状态。
spectralthief,Spectral Thief,Steals target's boosts before dealing damage.,暗影偷盗,潜入对手的影子进行攻击。会先夺取对手的能力提升后再造成伤害。
speedswap,Speed Swap,Swaps Speed stat with target.,速度互换,将对手和自己的速度进行互换。
spiderweb,Spider Web,Prevents the target from switching out.,蛛网,将黏糊糊的细丝一层一层缠住对手，使其不能从战斗中逃走。
spikecannon,Spike Cannon,Hits 2-5 times in one turn.,尖刺加农炮,向对手发射锐针进行攻击。连续攻击２～５次。
spikes,Spikes,Hurts grounded foes on switch-in. Max 3 layers.,撒菱,在对手的脚下扔撒菱。对替换出场的对手的宝可梦给予满HP的1/8的伤害。
spikyshield,Spiky Shield,Protects from moves. Contact: loses 1/8 max HP.,尖刺防守,防住对手攻击的同时，削减攻击方最大HP的1/8的HP。
spiritbreak,Spirit Break,100% chance to lower the target's Sp. Atk by 1.,灵魂冲击,用足以让对手一蹶不振的气势进行攻击。100%几率降低对手的特攻1级。
spiritshackle,Spirit Shackle,Prevents the target from switching out.,缝影,攻击的同时，缝住对手的影子，使其无法逃走。
spitup,Spit Up,More power with more uses of Stockpile.,喷出,将积蓄的力量撞向对手进行攻击。积蓄得越多，威力越大。
spite,Spite,Lowers the PP of the target's last move by 4.,怨恨,对对手最后使用的招式怀有怨恨，减少该招式4PP。
splash,Splash,No competitive use.,跃起,也不攻击只是一蹦一蹦地跳，什么都不会发生……
splinteredstormshards,Splintered Stormshards,Ends the effects of terrain.,狼啸石牙飓风暴,得到Ｚ力量的鬃岩狼人将全力进行攻击。而且会消除场地状态。
splishysplash,Splishy Splash,30% chance to paralyze the target.,滔滔冲浪,往巨浪中注入电能后冲撞对手进行攻击。30%几率让对手陷入麻痹状态。
spore,Spore,Causes the target to fall asleep.,蘑菇孢子,沙沙沙地撒满具有催眠效果的孢子，从而让对手陷入睡眠状态。
spotlight,Spotlight,Target's foes' moves are redirected to it this turn.,聚光灯,给宝可梦打上聚光灯，该回合只能瞄准该宝可梦。
stealthrock,Stealth Rock,Hurts foes on switch-in. Factors Rock weakness.,隐形岩,将无数岩石悬浮在对手的周围，从而对替换出场的对手的宝可梦给予满HP的1/8的伤害。
steameruption,Steam Eruption,30% chance to burn the target. Thaws target.,蒸汽爆炸,将滚烫的蒸汽喷向对手。30%几率让对手灼伤。
steamroller,Steamroller,30% chance to flinch the target.,疯狂滚压,旋转揉成团的身体压扁对手。30%几率使对手畏缩。
steelbeam,Steel Beam,User loses 50% max HP.,铁蹄光线,将从全身聚集的钢铁化为光束，激烈地发射出去。自己会减少最大HP的一半。
steelroller,Steel Roller,Fails if there is no terrain active. Ends the terrain.,铁滚轮,在破坏场地的同时攻击对手。如果脚下没有任何场地状态存在，使出此招式时便会失败。
steelwing,Steel Wing,10% chance to raise the user's Defense by 1.,钢翼,用坚硬的翅膀敲打对手进行攻击。10%几率提高自己的防御1级。
stickyweb,Sticky Web,Lowers Speed of grounded foes by 1 on switch-in.,黏黏网,在对手周围围上黏黏的网，100%几率降低替换出场的对手的速度1级。
stockpile,Stockpile,"Raises user's Defense, Sp. Def by 1. Max 3 uses.",蓄力,积蓄力量，提高自己的防御和特防各1级。最多积蓄３次。
stokedsparksurfer,Stoked Sparksurfer,100% chance to paralyze the target.,驾雷驭电戏冲浪,得到Ｚ力量的阿罗拉地区的雷丘将全力进行攻击。100%几率让对手陷入麻痹状态。一定会命中。
stomp,Stomp,30% chance to flinch the target.,踩踏,用大脚踩踏对手进行攻击。30%几率使对手畏缩。
stompingtantrum,Stomping Tantrum,Power doubles if the user's last move failed.,跺脚,化悔恨为力量进行攻击。如果上一回合招式没有打中，威力就会翻倍。
stoneedge,Stone Edge,High critical hit ratio.,尖石攻击,用尖尖的岩石刺入对手进行攻击。容易击中要害。
storedpower,Stored Power, + 20 power for each of the user's stat boosts.,辅助力量,用蓄积起来的力量攻击对手。自己的能力提高得越多，威力就越大。
stormthrow,Storm Throw,Always results in a critical hit.,山岚摔,向对手使出强烈的一击。攻击必定会击中要害。
strangesteam,Strange Steam,20% chance to confuse the target.,神奇蒸汽,喷出烟雾攻击对手。20%几率使对手混乱。
strength,Strength,No additional effect.,怪力,使出浑身力气殴打对手进行攻击。
strengthsap,Strength Sap,User heals HP=target's Atk stat. Lowers Atk by 1.,吸取力量,给自己回复和对手攻击力相同数值的ＨＰ，然后降低对手的攻击1级。
stringshot,String Shot,Lowers the foe(s) Speed by 2.,吐丝,用口中吐出的丝缠绕对手，从而低对手的速度2级。
struggle,Struggle,User loses 1/4 of its max HP.,挣扎,当自己的ＰＰ耗尽时，努力挣扎攻击对手。自己也会损失最大HP的1/4。
strugglebug,Struggle Bug,100% chance to lower the foe(s) Sp. Atk by 1.,虫之抵抗,抵抗并攻击对手。100%几率降低对手的特攻1级。
stuffcheeks,Stuff Cheeks,"Must hold Berry to use. User eats Berry, Def +2.",大快朵颐,吃掉携带的树果，并提高自身防御2级。
stunspore,Stun Spore,Paralyzes the target.,麻痹粉,撒出麻痹粉，从而让对手陷入麻痹状态。
submission,Submission,Has 1/4 recoil.,地狱翻滚,将对手连同自己一起摔向地面进行攻击。自己也会受到1/4的伤害。
substitute,Substitute,User takes 1/4 its max HP to put in a substitute.,替身,削减自己最大HP的1/4，制造分身。分身将成为自己的替身。
subzeroslammer,Subzero Slammer,Power is equal to the base move's Z-Power.,激狂大地万里冰,通过Ｚ力量急剧降低气温，全力冰冻对手。威力会根据原来的招式而改变。
suckerpunch,Sucker Punch,Usually goes first. Fails if target is not attacking.,突袭,可以比对手先攻击。对手使出的招式如果不是攻击招式则会失败。
sunnyday,Sunny Day,"For 5 turns, intense sunlight powers Fire moves.",大晴天,在５回合内阳光变得强烈，从而提高火属性的招式威力。水属性的招式威力则降低。
sunsteelstrike,Sunsteel Strike,Ignores the Abilities of other Pokemon.,流星闪冲,以流星般的气势猛撞对手，可无视对手的特性并进行攻击。
superfang,Super Fang,Does damage equal to 1/2 target's current HP.,愤怒门牙,用锋利的门牙猛烈地咬住对手进行攻击。对手的ＨＰ减半。
superpower,Superpower,Lowers the user's Attack and Defense by 1.,蛮力,发挥惊人的力量攻击对手。自己的攻击和防御都会降低1级。
supersonic,Supersonic,Causes the target to become confused.,超音波,从身体发出特殊的音波，从而使对手混乱。
supersonicskystrike,Supersonic Skystrike,Power is equal to the base move's Z-Power.,极速俯冲轰烈撞,通过Ｚ力量猛烈地飞向天空，朝对手全力落下。威力会根据原来的招式而改变。
surf,Surf,Hits adjacent Pokemon. Double damage on Dive.,冲浪,利用大浪攻击自己周围所有的宝可梦。
surgingstrikes,Surging Strikes,Always results in a critical hit. Hits 3 times.,水流连打,将水之流派修炼至大成的仿若行云流水般的３次连击。必定会击中要害。
swagger,Swagger,Raises the target's Attack by 2 and confuses it.,虚张声势,激怒对手，使其混乱。因为愤怒，对手的攻击会提高2级。
swallow,Swallow,Heals the user based on uses of Stockpile.,吞下,将积蓄的力量吞下，从而回复自己的ＨＰ。积蓄得越多，回复越大。
sweetkiss,Sweet Kiss,Causes the target to become confused.,天使之吻,像天使般可爱地亲吻对手，从而使对手混乱。
sweetscent,Sweet Scent,Lowers the foe(s) evasiveness by 2.,甜甜香气,用香气降低对手的闪避率2级。
swift,Swift,This move does not check accuracy. Hits foes.,高速星星,发射星形的光攻击对手。攻击必定会命中。
switcheroo,Switcheroo,User switches its held item with the target's.,掉包,用一闪而过的速度交换自己和对手的持有物。
swordsdance,Swords Dance,Raises the user's Attack by 2.,剑舞,激烈地跳起战舞提高气势。提高自己的攻击2级。
synchronoise,Synchronoise,Hits adjacent Pokemon sharing the user's type.,同步干扰,用神奇电波对周围所有和自己属性相同的宝可梦给予伤害。
synthesis,Synthesis,Heals the user by a weather-dependent amount.,光合作用,回复自己的ＨＰ。根据天气的不同，回复量也会有所变化。
tackle,Tackle,No additional effect.,撞击,用整个身体撞向对手进行攻击。
tailglow,Tail Glow,Raises the user's Sp. Atk by 3.,萤火,凝视闪烁的光芒，集中自己的精神，从而提高特攻3级。
tailslap,Tail Slap,Hits 2-5 times in one turn.,扫尾追打,用坚硬的尾巴拍打对手进行攻击。连续攻击２～５次。
tailwhip,Tail Whip,Lowers the foe(s) Defense by 1.,摇尾巴,可爱地左右摇晃尾巴，诱使对手疏忽大意。100%几率降低对手的防御1级。
tailwind,Tailwind,"For 4 turns, allies' Speed is doubled.",顺风,刮起猛烈的旋风，在４回合内提高我方全员的速度。
takedown,Take Down,Has 1/4 recoil.,猛撞,以惊人的气势撞向对手进行攻击。自己也会受到1/4的伤害。
tarshot,Tar Shot,Target gets -1 Spe and becomes weaker to Fire.,沥青射击,泼洒黏糊糊的沥青，降低对手的速度1级，并且使对手的弱点变为火。
taunt,Taunt,Target can't use status moves its next 3 turns.,挑衅,使对手愤怒。在３回合内让对手只能使出给予伤害的招式。
tearfullook,Tearful Look,Lowers the target's Attack and Sp. Atk by 1.,泪眼汪汪,变得泪眼汪汪，让对手丧失斗志。从而降低对手的攻击和特攻各1级。
teatime,Teatime,All active Pokemon consume held Berries.,茶会,举办一场茶会，场上的所有宝可梦都会吃掉自己携带的树果。
technoblast,Techno Blast,Type varies based on the held Drive.,高科技光炮,向对手放出光弹。属性会根据自己携带的卡带不同而改变。
tectonicrage,Tectonic Rage,Power is equal to the base move's Z-Power.,地隆啸天大终结,通过Ｚ力量潜入地里最深处，全力撞上对手。威力会根据原来的招式而改变。
teeterdance,Teeter Dance,Confuses adjacent Pokemon.,摇晃舞,摇摇晃晃地跳起舞蹈，让自己周围的宝可梦陷入混乱状态。
telekinesis,Telekinesis,"For 3 turns, target floats but moves can't miss it.",意念移物,利用超能力使对手浮起来。在３回合内攻击会变得容易打中对手。
teleport,Teleport,User switches out.,瞬间移动,停止和野生宝可梦战斗并逃走。
terrainpulse,Terrain Pulse,"User on terrain: power doubles, type varies.",大地波动,借助场地的力量进行攻击。视使出招式时场地状态不同，招式的属性和威力会有所变化。
thief,Thief,"If the user has no item, it steals the target's.",小偷,攻击的同时盗取道具。当自己携带道具时，不会去盗取。
thousandarrows,Thousand Arrows,Grounds adjacent foes. First hit neutral on Flying.,千箭齐发,可以击中浮在空中的宝可梦。空中的对手被击落后，会掉到地面。
thousandwaves,Thousand Waves,Hits adjacent foes. Prevents them from switching.,千波激荡,从地面掀起波浪进行攻击。被掀入波浪中的对手，将无法从战斗中逃走。
thrash,Thrash,Lasts 2-3 turns. Confuses the user afterwards.,大闹一番,在２～３回合内，乱打一气地攻击对手。大闹一番后自己会陷入混乱。
throatchop,Throat Chop,"For 2 turns, the target cannot use sound moves.",地狱突刺,受到此招式攻击的对手，会因为地狱般的痛苦，在２回合内，变得无法使出声音类招式。
thunder,Thunder,30% chance to paralyze. Can't miss in rain.,打雷,向对手劈下暴雷进行攻击。30%几率让对手陷入麻痹状态。
thunderbolt,Thunderbolt,10% chance to paralyze the target.,十万伏特,向对手发出强力电击进行攻击。10%几率让对手陷入麻痹状态。
thundercage,Thunder Cage,Traps and damages the target for 4-5 turns.,雷电囚笼,将对手困在电流四溅的囚笼中，在４～５回合内进行攻击。
thunderfang,Thunder Fang,10% chance to paralyze. 10% chance to flinch.,雷电牙,用蓄满电流的牙齿咬住对手。10%几率使对手畏缩或陷入麻痹状态。
thunderouskick,Thunderous Kick,100% chance to lower the target's Defense by 1.,雷鸣蹴击,以雷电般的动作戏耍对手的同时使出脚踢。可降低对手的防御1级。
thunderpunch,Thunder Punch,10% chance to paralyze the target.,雷电拳,用充满电流的拳头攻击对手。10%几率让对手陷入麻痹状态。
thundershock,Thunder Shock,10% chance to paralyze the target.,电击,发出电流刺激对手进行攻击。10%几率让对手陷入麻痹状态。
thunderwave,Thunder Wave,Paralyzes the target.,电磁波,向对手发出微弱的电击，从而让对手陷入麻痹状态。
tickle,Tickle,Lowers the target's Attack and Defense by 1.,挠痒,给对手挠痒，使其发笑，从而降低对手的攻击和防御各1级。
topsyturvy,Topsy-Turvy,Inverts the target's stat stages.,颠倒,颠倒对手身上的所有能力变化，变成和原来相反的状态。
torment,Torment,Target can't select the same move twice in a row.,无理取闹,向对手无理取闹，令其不能连续２次使出相同招式。
toxic,Toxic,Badly poisons the target. Poison types can't miss.,剧毒,让对手陷入剧毒状态。随着回合的推进，中毒伤害会增加。
toxicspikes,Toxic Spikes,Poisons grounded foes on switch-in. Max 2 layers.,毒菱,在对手的脚下撒毒菱。使对手替换出场的宝可梦中毒。
toxicthread,Toxic Thread,Lowers the target's Speed by 1 and poisons it.,毒丝,将混有毒的丝吐向对手。使其中毒，并降低对手的速度1级。
transform,Transform,"Copies target's stats, moves, types, and Ability.",变身,变身成对手宝可梦的样子，能够使用和对手完全相同的招式
triattack,Tri Attack,20% chance to paralyze or burn or freeze target.,三重攻击,用３种光线进行攻击。有20%几率让对手陷入麻痹、灼伤或冰冻的状态。
trick,Trick,User switches its held item with the target's.,戏法,抓住对手的空隙，交换自己和对手的持有物。
trickortreat,Trick-or-Treat,Adds Ghost to the target's type(s).,万圣夜,邀请对手参加万圣夜。使对手被追加幽灵属性。
trickroom,Trick Room,"Goes last. For 5 turns, turn order is reversed.",戏法空间,制造出离奇的空间。在５回合内速度慢的宝可梦可以先行动。
tripleaxel,Triple Axel,"Hits 3 times. Each hit can miss, but power rises.",三旋击,连续３次踢对手进行攻击。每踢中一次，威力就会提高。
triplekick,Triple Kick,"Hits 3 times. Each hit can miss, but power rises.",三连踢,连续３次踢对手进行攻击。每踢中一次，威力就会提高。
tropkick,Trop Kick,100% chance to lower the target's Attack by 1.,热带踢,向对手使出来自南国的火热脚踢。从而降低对手的攻击1级。
trumpcard,Trump Card,More power the fewer PP this move has left.,王牌,王牌招式的剩余ＰＰ越少，招式的威力越大。
twineedle,Twineedle,Hits 2 times. Each hit has 20% chance to poison.,双针,将２根针刺入对手，连续２次给予伤害。每次都有20%的几率让对手陷入中毒状态。
twinkletackle,Twinkle Tackle,Power is equal to the base move's Z-Power.,可爱星星飞天撞,通过Ｚ力量制造魅惑空间，全力捉弄对手。威力会根据原来的招式而改变。
twister,Twister,20% chance to flinch the foe(s).,龙卷风,兴起龙卷风，将对手卷入进行攻击。20%几率使对手畏缩。
uturn,U-turn,User switches out after damaging the target.,急速折返,在攻击之后急速返回，和后备宝可梦进行替换。
uproar,Uproar,Lasts 3 turns. Active Pokemon cannot fall asleep.,吵闹,在３回合内用骚乱攻击对手。在此期间谁都不能入眠。
vacuumwave,Vacuum Wave,Usually goes first.,真空波,挥动拳头，掀起真空波。必定能够先制攻击。
vcreate,V-create,"Lowers the user's Defense, Sp. Def, Speed by 1.",V热焰,从前额产生灼热的火焰，舍身撞击对手。令使用者防御、特防和速度各降低1级。
veeveevolley,Veevee Volley,Max happiness: 102 power. Can't miss.,砰砰击破,伊布越喜欢训练家，冲撞的威力就越强。攻击必定会命中。
venomdrench,Venom Drench,Lowers Atk/Sp. Atk/Speed of poisoned foes by 1.,毒液陷阱,将特殊的毒液泼向对手。对处于中毒状态的对手，使其攻击、特攻和速度各降低1级。
venoshock,Venoshock,Power doubles if the target is poisoned.,毒液冲击,将特殊的毒液泼向对手。对处于中毒状态的对手，威力会变成２倍。
vinewhip,Vine Whip,No additional effect.,藤鞭,用如同鞭子般弯曲而细长的藤蔓摔打对手进行攻击。
visegrip,Vise Grip,No additional effect.,夹住,将对手从两侧夹住，给予伤害。
vitalthrow,Vital Throw,This move does not check accuracy. Goes last.,借力摔,会在对手之后进行攻击。但是自己的攻击必定会命中。
voltswitch,Volt Switch,User switches out after damaging the target.,伏特替换,在攻击之后急速返回，和后备宝可梦进行替换。
