relicsong,Relic Song,10% chance to sleep foe(s). Meloetta transforms.,古老之歌,让对手听古老之歌，打动对手的内心进行攻击。10%几率让对手陷入睡眠状态。,Canto Arcaico,10% de dormir al rival.
rest,Rest,User sleeps 2 turns and restores HP and status.,睡觉,连续睡上２回合。回复自己的全部ＨＰ以及治愈所有异常状态。,Descanso,Duerme al usuario por 2 turnos y recupera todo su PS.
retaliate,Retaliate,Power doubles if an ally fainted last turn.,报仇,为倒下的同伴报仇。如果上一回合有同伴倒下，威力翻倍。,Represalia,"Si un compañero ha caído debilitado el turno anterior, su poder base se dobla."
return,Return,Max 102 power at maximum Happiness.,报恩,为了训练家而全力攻击对手。亲密度越高，威力越大。最大102。,Retribución,"Su poder base depende de la Felicidad del Pokémon, entre 0 y 102."
revelationdance,Revelation Dance,Type varies based on the user's primary type.,觉醒之舞,全力跳舞进行攻击。此招式的属性将变得和自己的属性相同。,Danza Despertar,El tipo del ataque depende del primer tipo del usuario.
revenge,Revenge,Power doubles if user is damaged by the target.,报复,如果本回合受到对手的招式攻击，就能给予对手２倍的伤害。,Desquite,El poder base se duplica si el usuario es golpeado antes de usar este movimiento en el mismo turno.
reversal,Reversal,More power the less HP the user has left.,起死回生,竭尽全力进行攻击。自己的ＨＰ越少，招式的威力越大。,Inversión,El poder base de este movimiento es mayor cuanto menor el PS restante del usuario.
risingvoltage,Rising Voltage,2x power if target is grounded in Electric Terrain.,电气上升,用从地面升腾而起的电击进行攻击。当对手处于电气场地上时，威力翻倍。,Rising Voltage,2x power if target is grounded in Electric Terrain.
roar,Roar,Forces the target to switch to a random ally.,吼叫,放走对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。,Rugido,"El Pokémon rival es intercambiado por otro al azar del entrenador rival. Si es salvaje, huirá."
roaroftime,Roar of Time,User cannot move next turn.,时光咆哮,释放出扭曲时间般的强大力量攻击对手。下一回合自己将无法动弹。,Distorsión,Impide al usuario usar un movimiento o ser intercambiado en el siguiente turno.
rockblast,Rock Blast,Hits 2-5 times in one turn.,岩石爆击,向对手发射坚硬的岩石进行攻击。连续攻击２～５次。,Pedrada,Golpea de 2 a 5 veces seguidas.
rockclimb,Rock Climb,20% chance to confuse the target.,攀岩,用尽全力扑向对手进行攻击。20%几率使对手混乱。,Treparrocas,20% de confundir al rival.
rockpolish,Rock Polish,Raises the user's Speed by 2.,岩石打磨,打磨自己的身体，减少空气阻力。100%几率提高自己的速度2级。,Pulimento,Aumenta dos niveles la Velocidad al usuario.
rockslide,Rock Slide,30% chance to flinch the foe(s).,岩崩,将大岩石猛烈地撞向对手进行攻击。30%几率使对手畏缩。,Avalancha,30% de hacer retroceder al rival.
rocksmash,Rock Smash,50% chance to lower the target's Defense by 1.,碎岩,用拳头进行攻击。50%几率降低对手的防御。,Golpe Roca,50% de reducir un nivel la Defensa al rival.
rockthrow,Rock Throw,No additional effect.,落石,拿起小岩石，投掷对手进行攻击。,Lanzarrocas,Ninguno.
rocktomb,Rock Tomb,100% chance to lower the target's Speed by 1.,岩石封锁,投掷岩石进行攻击。封住对手的行动，100%几率降低目标速度1级。,Tumba Rocas,100% de reducir un nivel la Velocidad al rival.
rockwrecker,Rock Wrecker,User cannot move next turn.,岩石炮,向对手发射巨大的岩石进行攻击。下一回合自己将无法动弹。,Romperrocas,Impide al usuario usar un movimiento o ser intercambiado en el siguiente turno.
roleplay,Role Play,User replaces its Ability with the target's.,扮演,扮演对手，让自己的特性变得和对手相同。,Imitación,El usuario adquiere la habilidad del rival mientras permanezca en batalla (salvo Superguarda o Multitipo).
rollingkick,Rolling Kick,30% chance to flinch the target.,回旋踢,一边使身体快速旋转，一边踢飞对手进行攻击。30%几率使对手畏缩。,Patada Giro,30% de hacer retroceder al rival.
rollout,Rollout,Power doubles with each hit. Repeats for 5 turns.,滚动,在５回合内连续滚动攻击对手。招式每次击中，威力就会提高。,Desenrollar,"El usuario debe usar este movimiento por hasta 5 turnos (mientras no falle). Por cada turno que use el ataque, su poder base se dobla."
roost,Roost,Heals 50% HP. Flying-type removed 'til turn ends.,羽栖,降到地面，使身体休息。回复自己最大ＨＰ的一半。,Respiro,"El usuario recupera el 50% de su PS máximo. En ese mismo turno perderá su tipo Volador (si lo tiene), con lo que ello afecta a sus inmunidades, debilidades y resistencias."
rototiller,Rototiller,Raises Atk/Sp. Atk of grounded Grass types by 1.,耕地,翻耕土地，使草木更容易成长。100%几率提高地面上的草属性宝可梦的攻击和特攻各1级。,Fertilizante,Aumenta un nivel el Ataque y el Ataque Especial a todos los Pokémon de tipo Planta en combate.
round,Round,Power doubles if others used Round this turn.,轮唱,用歌声攻击对手。同伴还可以接着使出轮唱招式，威力也会提高。,Canon,El poder base del movimiento se dobla si un compañero ya lo ha usado en el mismo turno.
sacredfire,Sacred Fire,50% chance to burn the target. Thaws user.,神圣之火,用神秘的火焰烧尽对手进行攻击。50%几率让对手陷入灼伤状态。,Fuego Sagrado,"50% de quemar al rival. Puede ser utilizado incluso cuando el Pokémon está congelado, curando automáticamente la congelación."
sacredsword,Sacred Sword,Ignores the target's stat stage changes.,圣剑,用长角切斩对手进行攻击。无视对手的能力变化，直接给予伤害。,Espada Santa,Ignora los modificadores de stats del Pokémon objetivo.
safeguard,Safeguard,"For 5 turns, protects user's party from status.",神秘守护,在５回合内被神奇的力量守护，从而不会陷入异常状态。,Velo Sagrado,"Previene cambios de estado permanentes, Púas Tóxicas y confusión por 5 turnos al usuario y sus compañeros."
sandattack,Sand Attack,Lowers the target's accuracy by 1.,泼沙,向对手脸上泼沙子，从而降低目标命中率1级。,Ataque Arena,Baja un nivel la Precisión al rival.
sandstorm,Sandstorm,"For 5 turns, a sandstorm rages.",沙暴,在５回合内扬起沙暴，除岩石、地面和钢属性以外的宝可梦，都会受到伤害。岩石属性的特防还会提高。,Tormenta Arena,Provoca Tormenta de Arena.
sandtomb,Sand Tomb,Traps and damages the target for 4-5 turns.,流沙地狱,将对手困在铺天盖地的沙暴中，在４～５回合内进行攻击。,Bucle Arena,"El Pokémon rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 12.5% del PS cada turno."
sappyseed,Sappy Seed,Summons Leech Seed.,茁茁轰炸,长出巨大的藤蔓，播撒种子进行攻击。100%几率使目标进入寄生种子状态。,Leafitobombas,100% de poner Drenadoras al rival.
savagespinout,Savage Spin-Out,Power is equal to the base move's Z-Power.,绝对捕食回旋转,通过Ｚ力量将吐出的丝线全力束缚对手。威力会根据原来的招式而改变。,Guadaña Sedosa,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
scald,Scald,30% chance to burn the target. Thaws target.,热水,向对手喷射煮得翻滚的开水进行攻击。30%几率让对手陷入灼伤状态。,Escaldar,30% de quemar al rival.
scaleshot,Scale Shot,"Hits 2-5 times. User: -1 Def, +1 Spe after last hit.",鳞射,发射鳞片进行攻击。连续攻击２～５次。攻击结束后令使用者防御降低1级，同时速度提升1级。,Scale Shot,"Hits 2-5 times. User: -1 Def, +1 Spe after last hit."
scaryface,Scary Face,Lowers the target's Speed by 2.,鬼面,用恐怖的脸瞪着对手，使其害怕，从而降低对手的速度2级。,Cara Susto,Baja dos niveles la Velocidad al rival.
scorchingsands,Scorching Sands,30% chance to burn the target. Thaws target.,热沙大地,将滚烫的沙子砸向对手进行攻击。30%几率会让对手陷入灼伤状态。,Scorching Sands,30% chance to burn the target. Thaws target.
scratch,Scratch,No additional effect.,抓,用坚硬且无比锋利的爪子抓对手进行攻击。,Arañazo,Ninguno.
screech,Screech,Lowers the target's Defense by 2.,刺耳声,发出不由自主想要捂起耳朵的刺耳声，从而低对手的防御2级。,Chirrido,Baja dos niveles la Defensa al rival.
searingshot,Searing Shot,30% chance to burn adjacent Pokemon.,火焰弹,用熊熊烈火攻击自己周围所有的宝可梦。30%几率使目标陷入灼伤状态。,Bomba Ígnea,30% de quemar al rival.
searingsunrazesmash,Searing Sunraze Smash,Ignores the Abilities of other Pokemon.,日光回旋下苍穹,得到Ｚ力量的索尔迦雷欧将全力进行攻击。可以无视对手的特性效果。,Embestida Solar,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Solgaleo con Solgaleostal Z equipado. Ignora las habilidades de los Pokémon en juego.
secretpower,Secret Power,Effect varies with terrain. (30% paralysis chance),秘密之力,根据使用场所不同，该招式的追加效果也会有所变化。追加效果几率为30%。,Daño Secreto,30% de que ocurra cierto efecto según el terreno de la batalla.
secretsword,Secret Sword,"Damages target based on Defense, not Sp. Def.",神秘之剑,用长角切斩对手进行攻击。角上拥有的神奇力量将给予物理伤害。使目标防御代替特防进行伤害计算。,Sable Místico,Causa daño en base al Ataque Especial del usuario y la Defensa del Pokémon objetivo.
seedbomb,Seed Bomb,No additional effect.,种子炸弹,将外壳坚硬的大种子，从上方砸下攻击对手。,Bomba Germen,Ninguno.
seedflare,Seed Flare,40% chance to lower the target's Sp. Def by 2.,种子闪光,从身体里产生冲击波。40%几率降低对手的特防2级。,Fogonazo,40% de reducir dos niveles la Defensa Especial al rival.
seismictoss,Seismic Toss,Does damage equal to the user's level.,地球上投,利用引力将对手甩飞出去。给予对手和自己等级相同的伤害。,Mov. Sísmico,Causa un daño equivalente al nivel del usuario.
selfdestruct,Self-Destruct,Hits adjacent Pokemon. The user faints.,自爆,引发爆炸，攻击自己周围所有的宝可梦。使用后陷入濒死。,Autodestrucción,El usuario cae debilitado tras usar este movimiento. El movimiento fallará si su objetivo desaparece.
shadowball,Shadow Ball,20% chance to lower the target's Sp. Def by 1.,影子球,投掷一团黑影进行攻击。20%几率降低对手的特防1级。,Bola Sombra,20% de reducir un nivel la Defensa Especial al rival.
shadowbone,Shadow Bone,20% chance to lower the target's Defense by 1.,暗影之骨,用附有灵魂的骨头殴打对手进行攻击。20%几率降低对手的防御1级。,Hueso Sombrío,20% de reducir un nivel la Defensa al rival.
shadowclaw,Shadow Claw,High critical hit ratio.,暗影爪,以影子做成的锐爪，劈开对手。容易击中要害。,Garra Umbría,Alta probabilidad de Golpe Crítico.
shadowforce,Shadow Force,Disappears turn 1. Hits turn 2. Breaks protection.,暗影潜袭,第１回合消失踪影，第２回合攻击对手。即使对手正受保护，也能击中。,Golpe Umbrío,"Precisa un turno de preparación en las tinieblas, en que es totalmente inmune. Su golpe no es evitado por Protección o Detección."
shadowpunch,Shadow Punch,This move does not check accuracy.,暗影拳,使出混影之拳。攻击必定会命中。,Puño Sombra,Siempre golpea.
shadowsneak,Shadow Sneak,Usually goes first.,影子偷袭,伸长影子，从对手的背后进行攻击。必定能够先制攻击。,Sombra Vil,Golpea primero.
shadowstrike,Shadow Strike,50% chance to lower the target's Defense by 1.,暗影突袭,50%几率降低目标防御1级。,Shadow Strike,50% chance to lower the target's Defense by 1.
sharpen,Sharpen,Raises the user's Attack by 1.,棱角化,增加身体的角，变得棱棱角角，从而提高自己的攻击1级。,Afilar,Aumenta un nivel el Ataque al usuario.
shatteredpsyche,Shattered Psyche,Power is equal to the base move's Z-Power.,至高精神破坏波,通过Ｚ力量操纵对手，全力使其感受到痛苦。威力会根据原来的招式而改变。,Disruptor Psíquico,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
sheercold,Sheer Cold,OHKOs non-Ice targets. Fails if user's lower level.,绝对零度,给对手一击濒死。如果是冰属性以外的宝可梦使用，就会难以打中。,Frío Polar,Puede debilitar al Pokémon rival de un solo golpe.
shellsidearm,Shell Side Arm,20% psn. Physical+contact if it would be stronger.,臂备武器,从物理攻击和特殊攻击中选择可造成较多伤害的方式进行攻击。20%几率让对手陷入中毒状态。,Shell Side Arm,20% psn. Physical+contact if it would be stronger.
shellsmash,Shell Smash,"Lowers Def, SpD by 1; raises Atk, SpA, Spe by 2.",破壳,打破外壳，降低自己的防御和特防各1级，同时提高攻击、特攻和速度各2级。,Rompecoraza,"Aumenta dos niveles el Ataque, el Ataque Especial y la Velocidad del usuario, pero reduce un nivel su Defensa y Defensa Especial."
shelltrap,Shell Trap,User must take physical damage before moving.,陷阱甲壳,回合开始时，设下陷阱，若该回合中受到来自对手的物理攻击， 可引起爆炸并给予对手重大的伤害。,Coraza Trampa,Ataca último solamente si ha recibido un ataque físico del Pokémon rival durante el mismo turno.
shiftgear,Shift Gear,Raises the user's Speed by 2 and Attack by 1.,换挡,转动齿轮，不仅提高自己的攻击，还会大幅提高速度。,Cambio de Marcha,Aumenta dos niveles la Velocidad del usuario y un nivel su Ataque.
shockwave,Shock Wave,This move does not check accuracy.,电击波,向对手快速发出电击。攻击必定会命中。,Onda Voltio,Siempre golpea.
shoreup,Shore Up,User restores 1/2 its max HP; 2/3 in Sandstorm.,集沙,回复自己最大ＨＰ的一半。在沙暴中回复得更多。,Recogearena,"El usuario recupera 66.6% PS en Tormenta de Arena, y 50% PS si no hay clima o en Día Soleado, Llovizna o Granizo."
signalbeam,Signal Beam,10% chance to confuse the target.,信号光束,发射神奇的光线进行攻击。10%几率使对手混乱。,Doble Rayo,10% de confundir al rival.
silverwind,Silver Wind,10% chance to raise all stats by 1 (not acc/eva).,银色旋风,在风中掺入鳞粉攻击对手。10%几率提高自己的全部能力。,Viento Plata,"10% de aumentar un nivel el Ataque, la Defensa, la Velocidad, el Ataque Especial y la Defensa Especial al usuario."
simplebeam,Simple Beam,The target's Ability becomes Simple.,单纯光束,向对手发送谜之念波。接收到念波的对手，其特性会变为单纯。,Onda Simple,Cambia la habilidad del rival a Simple hasta que sea intercambiado.
sing,Sing,Causes the target to fall asleep.,唱歌,让对手听舒适、美妙的歌声，从而陷入睡眠状态。,Canto,Provoca Sueño.
sinisterarrowraid,Sinister Arrow Raid,No additional effect.,遮天蔽日暗影箭,通过Ｚ力量制造出无数箭的狙射树枭将全力射穿对手进行攻击。,Aluvión de Flechas Sombrías,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Decidueye con Dueyestal Z equipado.
sizzlyslide,Sizzly Slide,100% chance to burn the foe.,熊熊火爆,用燃起大火的身体猛烈地冲撞对手。100%几率让对手陷入灼伤状态。,Flarembestida,100% de quemar al rival.
sketch,Sketch,Permanently copies the last move target used.,写生,将对手使用的招式变成自己的招式。使用１次后写生消失。,Esquema,"Copia el último movimiento intentado por el rival de manera permanente, de manera que ocupará la posición de este movimiento incluso tras terminar la batalla."
skillswap,Skill Swap,The user and the target trade Abilities.,特性互换,利用超能力互换自己和对手的特性。,Intercambio,El usuario intercambia la habilidad con el rival (salvo Superguarda y Multitipo).
skittersmack,Skitter Smack,100% chance to lower target's Sp. Atk by 1.,爬击,从对手背后爬近后进行攻击。100%几率降低对手的特攻。,Skitter Smack,100% chance to lower target's Sp. Atk by 1.
skullbash,Skull Bash,Raises user's Defense by 1 on turn 1. Hits turn 2.,火箭头锤,第１回合把头缩进去，从而提高防御1级。第２回合攻击对手。,Cabezazo,100% de aumentar un nivel la Defensa al usuario el primer turno. Golpea en el segundo turno.
skyattack,Sky Attack,"Charges, then hits turn 2. 30% flinch. High crit.",神鸟猛击,第２回合攻击对手。30%几率使对手畏缩。也容易击中要害。,Ataque Aéreo,30% de hacer retroceder al rival. Se prepara el primer turno para atacar en el segundo.
skydrop,Sky Drop,User and foe fly up turn 1. Damages on turn 2.,自由落体,第１回合将对手带到空中，第２回合将其摔下进行攻击。被带到空中的对手不能动弹。,Caída Libre,"Precisa un turno de preparación en el cielo, en el que se lleva al Pokémon rival por los aires. En el segundo turno lo suelta causando daño."
skyuppercut,Sky Uppercut,"Can hit Pokemon using Bounce, Fly, or Sky Drop.",冲天拳,用冲向天空般高高的上勾拳顶起对手进行攻击。,Gancho Alto,"Golpea a Pokémon en mitad de un Vuelo, Bote o Caída Libre."
slackoff,Slack Off,Heals the user by 50% of its max HP.,偷懒,偷懒休息。回复自己最大ＨＰ的一半。,Relajo,El usuario recupera el 50% de su PS máximo.
slam,Slam,No additional effect.,摔打,使用长长的尾巴或藤蔓等摔打对手进行攻击。,Atizar,Ninguno.
slash,Slash,High critical hit ratio.,劈开,用爪子或镰刀等劈开对手进行攻击。容易击中要害。,Cuchillada,Alta probabilidad de Golpe Crítico.
sleeppowder,Sleep Powder,Causes the target to fall asleep.,催眠粉,撒出催眠粉，命中后100%几率让对手陷入睡眠状态。,Somnífero,Provoca Sueño.
sleeptalk,Sleep Talk,User must be asleep. Uses another known move.,梦话,从自己已学会的招式中任意使出１个。只能在自己睡觉时使用。,Sonámbulo,El usuario utiliza uno de sus movimientos al azar mientras está dormido.
sludge,Sludge,30% chance to poison the target.,污泥攻击,用污泥投掷对手进行攻击。30%几率让对手陷入中毒状态。,Residuos,30% de envenenar al rival.
sludgebomb,Sludge Bomb,30% chance to poison the target.,污泥炸弹,用污泥投掷对手进行攻击。30%几率让对手陷入中毒状态。,Bomba Lodo,30% de envenenar al rival.
sludgewave,Sludge Wave,10% chance to poison adjacent Pokemon.,污泥波,用污泥波攻击自己周围所有的宝可梦。10%几率使目标陷入中毒状态。,Onda Tóxica,10% de envenenar al rival.
smackdown,Smack Down,Removes the target's Ground immunity.,击落,扔石头或炮弹，攻击飞行的对手。对手会被击落，掉到地面。,Antiaéreo,"Golpea a Pokémon en mitad de un Vuelo, Bote o Caída Libre. Los Pokémon voladores o con Levitación pierden su inmunidad a Tierra."
smartstrike,Smart Strike,This move does not check accuracy.,修长之角,用尖尖的角刺入对手进行攻击。攻击必定会命中。,Cuerno Certero,Siempre golpea.
smellingsalts,Smelling Salts,"Power doubles if target is paralyzed, and cures it.",清醒,对于麻痹状态下的对手，威力会变成２倍。但对手的麻痹也会被治愈。,Estímulo,"El poder base se duplica si golpea a un Pokémon paralizado, curándole la parálisis."
smog,Smog,40% chance to poison the target.,浊雾,将肮脏的浓雾吹向对手进行攻击。40%几率让对手陷入中毒状态。,Polución,40% de envenenar al rival.
smokescreen,Smokescreen,Lowers the target's accuracy by 1.,烟幕,向对手喷出烟或墨汁等，从而降低对手的命中率1级。,Pantalla de Humo,Baja un nivel la Precisión al rival.
snaptrap,Snap Trap,Traps and damages the target for 4-5 turns.,捕兽夹,使用捕兽夹，在４～５回合内，夹住对手进行攻击。,Snap Trap,Traps and damages the target for 4-5 turns.
snarl,Snarl,100% chance to lower the foe(s) Sp. Atk by 1.,大声咆哮,没完没了地大声斥责，从而降低对手的特攻1级。,Alarido,100% de reducir un nivel el Ataque Especial al rival.
snatch,Snatch,User steals certain support moves to use itself.,抢夺,将对手打算使用的回复招式或能力变化招式夺为己用。,Robo,"Roba el efecto secundario de los movimientos de apoyo que fuera a utilizar el rival ese turno, y lo utiliza en beneficio del usuario."
snipeshot,Snipe Shot,High critical hit ratio. Cannot be redirected.,狙击,能无视具有吸引对手招式效果的特性或招式的影响。可以向选定的对手进行攻击。,Snipe Shot,High critical hit ratio. Cannot be redirected.
snore,Snore,User must be asleep. 30% chance to flinch target.,打鼾,在自己睡觉时，发出噪音进行攻击。30%几率使对手畏缩。,Ronquido,30% de hacer retroceder al rival. Sólo puede ser utilizado cuando el Pokémon está dormido.
soak,Soak,Changes the target's type to Water.,浸水,将大量的水泼向对手，从而使其变成水属性。,Anegar,Cambia el tipo del Pokémon objetivo por el tipo Agua.
softboiled,Soft-Boiled,Heals the user by 50% of its max HP.,生蛋,回复自己最大ＨＰ的一半。,Amortiguador,El usuario recupera el 50% de su PS máximo.
solarbeam,Solar Beam,Charges turn 1. Hits turn 2. No charge in sunlight.,日光束,第１回合收集满满的日光，第２回合发射光束进行攻击。,Rayo Solar,"Precisa un turno de carga, salvo en Día Soleado. En Llovizna, Granizo y Tormenta de Arena su poder base es la mitad."
solarblade,Solar Blade,Charges turn 1. Hits turn 2. No charge in sunlight.,日光刃,在第１回合储存日光的能量，然后在第２回合使出高威力攻击。,Cuchilla Solar,"Precisa un turno de carga, salvo en Día Soleado. En Llovizna, Granizo y Tormenta de Arena su poder base es la mitad."
sonicboom,Sonic Boom,Always does 20 HP of damage.,音爆,将冲击波撞向对手进行攻击。必定会给予２０的伤害。,Bomba Sónica,Causa un daño de 20 PS al Pokémon rival.
soulstealing7starstrike,Soul-Stealing 7-Star Strike,No additional effect.,七星夺魂腿,得到Ｚ力量的玛夏多将全力使出拳头和脚踢的连续招式叩打对手。必定会命中。,Constelación Robaalmas,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Marshadow con Marshastal Z equipado.
spacialrend,Spacial Rend,High critical hit ratio.,亚空裂斩,将对手连同周围的空间一起撕裂并给予伤害。容易击中要害。,Corte Vacío,Alta probabilidad de Golpe Crítico.
spark,Spark,30% chance to paralyze the target.,电光,让电流覆盖全身，猛撞向对手进行攻击。30%几率让对手陷入麻痹状态。,Chispa,30% de paralizar al rival.
sparklingaria,Sparkling Aria,The target is cured of its burn.,泡影的咏叹调,受到这招式攻击的对手身上的灼伤状态将会痊愈。,Aria Burbuja,"Si el Pokémon rival se encuentra Quemado, este ataque le cura la Quemadura al rival."
sparklyswirl,Sparkly Swirl,Cures the user's party of all status conditions.,亮亮风暴,利用芬芳刺鼻的龙卷风吞噬对方。能治愈我方宝可梦的异常状态。,Sylveotornado,Cura cualquier problema de estado de cualquier miembro de tu equipo.
spectralthief,Spectral Thief,Steals target's boosts before dealing damage.,暗影偷盗,潜入对手的影子进行攻击。会先夺取对手的能力提升后再造成伤害。,Robasombra,El usuario obtiene los modificadores positivos de todos los stats del rival antes de atacarle.
speedswap,Speed Swap,Swaps Speed stat with target.,速度互换,将对手和自己的速度进行互换。,Cambia Velocidad,El usuario intercambia su estadística de Velocidad con el rival.
spiderweb,Spider Web,Prevents the target from switching out.,蛛网,将黏糊糊的细丝一层一层缠住对手，使其不能从战斗中逃走。,Telaraña,"Impide al rival ser intercambiado, salvo usando Relevo, Ida y Vuelta, Voltiocambio o Última Palabra, o si tiene Muda Concha o Botón Escape."
spikecannon,Spike Cannon,Hits 2-5 times in one turn.,尖刺加农炮,向对手发射锐针进行攻击。连续攻击２～５次。,Clavo Cañón,Golpea de 2 a 5 veces seguidas.
spikes,Spikes,Hurts grounded foes on switch-in. Max 3 layers.,撒菱,在对手的脚下扔撒菱。对替换出场的对手的宝可梦给予满HP的1/8的伤害。,Púas,"El Pokémon que salga a luchar recibirá un daño equivalente al 12.5% de PS (16.66% con 2 filas, 25% con 3 filas). No afecta a Pokémon voladores o levitadores."
spikyshield,Spiky Shield,Protects from moves. Contact: loses 1/8 max HP.,尖刺防守,防住对手攻击的同时，削减攻击方最大HP的1/8的HP。,Barrera Espinosa,Evita todo daño directo y efectos de movimientos del rival. Su precisión se reduce con cada uso consecutivo. Provoca daño de un 12.5% del PS máximo del Pokémon que intente tocarlo.
spiritbreak,Spirit Break,100% chance to lower the target's Sp. Atk by 1.,灵魂冲击,用足以让对手一蹶不振的气势进行攻击。100%几率降低对手的特攻1级。,Spirit Break,100% chance to lower the target's Sp. Atk by 1.
spiritshackle,Spirit Shackle,Prevents the target from switching out.,缝影,攻击的同时，缝住对手的影子，使其无法逃走。,Puntada Sombría,"Impide al rival ser intercambiado, salvo usando Relevo, Ida y Vuelta, Voltiocambio o Última Palabra, o si tiene Muda Concha o Botón Escape."
spitup,Spit Up,More power with more uses of Stockpile.,喷出,将积蓄的力量撞向对手进行攻击。积蓄得越多，威力越大。,Escupir,Cada contador de Reserva que tenga el usuario (máx. 3) suma 100 a su poder base. Resetea los contadores y con ello la mejora en defensas.
spite,Spite,Lowers the PP of the target's last move by 4.,怨恨,对对手最后使用的招式怀有怨恨，减少该招式4PP。,Rencor,El último movimiento utilizado por el rival verá reducidos sus PP en 4.
splash,Splash,No competitive use.,跃起,也不攻击只是一蹦一蹦地跳，什么都不会发生……,Salpicadura,No hace nada.
splinteredstormshards,Splintered Stormshards,Ends the effects of terrain.,狼啸石牙飓风暴,得到Ｚ力量的鬃岩狼人将全力进行攻击。而且会消除场地状态。,Tempestad Rocosa,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Lycanroc con Lycanrostal Z equipado. Anula los efectos del campo que haya en el terreno de combate.
splishysplash,Splishy Splash,30% chance to paralyze the target.,滔滔冲浪,往巨浪中注入电能后冲撞对手进行攻击。30%几率让对手陷入麻痹状态。,Salpikasurf,30% de paralizar al rival.
spore,Spore,Causes the target to fall asleep.,蘑菇孢子,沙沙沙地撒满具有催眠效果的孢子，从而让对手陷入睡眠状态。,Espora,Provoca Sueño.
spotlight,Spotlight,Target's foes' moves are redirected to it this turn.,聚光灯,给宝可梦打上聚光灯，该回合只能瞄准该宝可梦。,Foco,"En batallas múltiples, los ataques que usen los otros Pokémon ese turno golpearán al Pokémon objetivo, ignorando la elección de su entrenador. No afecta a los ataques varios objetivos."
stealthrock,Stealth Rock,Hurts foes on switch-in. Factors Rock weakness.,隐形岩,将无数岩石悬浮在对手的周围，从而对替换出场的对手的宝可梦给予满HP的1/8的伤害。,Trampa Rocas,"El Pokémon que salga a luchar recibirá un daño equivalente al 12.5% de PS, que aumenta o disminuye según resistencias y debilidades al tipo Roca (3.125% a 50%)."
steameruption,Steam Eruption,30% chance to burn the target. Thaws target.,蒸汽爆炸,将滚烫的蒸汽喷向对手。30%几率让对手灼伤。,Chorro de Vapor,30% de quemar al rival.
steamroller,Steamroller,30% chance to flinch the target.,疯狂滚压,旋转揉成团的身体压扁对手。30%几率使对手畏缩。,Rodillo de Púas,30% de hacer retroceder al rival. Golpea a Pokémon que han usado Reducción con el doble de poder base e ignorando su Evasión.
steelbeam,Steel Beam,User loses 50% max HP.,铁蹄光线,将从全身聚集的钢铁化为光束，激烈地发射出去。自己会减少最大HP的一半。,Steel Beam,User loses 50% max HP.
steelroller,Steel Roller,Fails if there is no terrain active. Ends the terrain.,铁滚轮,在破坏场地的同时攻击对手。如果脚下没有任何场地状态存在，使出此招式时便会失败。,Steel Roller,Fails if there is no terrain active. Ends the terrain.
steelwing,Steel Wing,10% chance to raise the user's Defense by 1.,钢翼,用坚硬的翅膀敲打对手进行攻击。10%几率提高自己的防御1级。,Ala de Acero,10% de aumentar un nivel la Defensa al usuario.
stickyweb,Sticky Web,Lowers Speed of grounded foes by 1 on switch-in.,黏黏网,在对手周围围上黏黏的网，100%几率降低替换出场的对手的速度1级。,Red Viscosa,El Pokémon que salga a luchar verá reducida su Velocidad en un nivel. No afecta a Pokémon voladores o levitadores.
stockpile,Stockpile,"Raises user's Defense, Sp. Def by 1. Max 3 uses.",蓄力,积蓄力量，提高自己的防御和特防各1级。最多积蓄３次。,Reserva,El usuario suma un contador de Reserva (máx. 3). Aumentan un nivel la Defensa y Defensa Especial del usuario. Pueden ser pasados mediante Relevo y usados con Escupir y Tragar.
stokedsparksurfer,Stoked Sparksurfer,100% chance to paralyze the target.,驾雷驭电戏冲浪,得到Ｚ力量的阿罗拉地区的雷丘将全力进行攻击。100%几率让对手陷入麻痹状态。一定会命中。,Surfeo Galvánico,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Raichu de Alola con Alo-Raistal Z equipado. 100% de paralizar al rival.
stomp,Stomp,30% chance to flinch the target.,踩踏,用大脚踩踏对手进行攻击。30%几率使对手畏缩。,Pisotón,30% de hacer retroceder al rival. Golpea a Pokémon que han usado Reducción con el doble de poder base e ignorando su Evasión.
stompingtantrum,Stomping Tantrum,Power doubles if the user's last move failed.,跺脚,化悔恨为力量进行攻击。如果上一回合招式没有打中，威力就会翻倍。,Pataleta,El poder base se duplica si el usuario falló el último movimiento usado.
stoneedge,Stone Edge,High critical hit ratio.,尖石攻击,用尖尖的岩石刺入对手进行攻击。容易击中要害。,Roca Afilada,Alta probabilidad de Golpe Crítico.
